tweet_id,tweet_date,country,sentiment
1.25666E+018,05/02/2020,United Kingdom,2
1.25667E+018,05/02/2020,United States,0
1.25668E+018,05/02/2020,United States,0
1.2567E+018,05/02/2020,France,2
1.25709E+018,05/03/2020,United Kingdom,2
1.2576E+018,05/05/2020,United Kingdom,2
1.25794E+018,05/06/2020,United States,2
1.25608E+018,05/01/2020,United States,2
1.25608E+018,05/01/2020,Canada,2
1.25672E+018,05/02/2020,United States,0
1.25733E+018,05/04/2020,United States,2
1.25759E+018,05/05/2020,United Kingdom,2
1.25779E+018,05/05/2020,United States,0
1.25823E+018,05/07/2020,United States,2
1.25862E+018,05/08/2020,United States,2
1.25877E+018,05/08/2020,United States,2
1.25601E+018,05/01/2020,United States,2
1.25601E+018,05/01/2020,United States,2
1.25726E+018,05/04/2020,United States,2
1.25745E+018,05/04/2020,United States,2
1.2586E+018,05/08/2020,United States,2
1.25675E+018,05/03/2020,United States,2
1.25722E+018,05/04/2020,United States,0
1.25736E+018,05/04/2020,United States,2
1.25739E+018,05/04/2020,United States,2
1.25831E+018,05/07/2020,United Kingdom,2
1.25887E+018,05/08/2020,United States,2
1.25895E+018,05/09/2020,United States,2
1.25914E+018,05/09/2020,United States,0
1.25985E+018,05/11/2020,United Kingdom,2
1.25996E+018,05/11/2020,United States,2
1.25645E+018,05/02/2020,United States,2
1.25646E+018,05/02/2020,United Kingdom,2
1.25768E+018,05/05/2020,United States,2
1.25618E+018,05/01/2020,United States,0
1.25624E+018,05/01/2020,United States,2
1.25713E+018,05/04/2020,United States,2
1.25763E+018,05/05/2020,Canada,2
1.25774E+018,05/05/2020,United States,0
1.25948E+018,05/10/2020,United States,2
1.25644E+018,05/02/2020,United States,2
1.25658E+018,05/02/2020,United States,0
1.25705E+018,05/03/2020,United Kingdom,2
1.25742E+018,05/04/2020,United States,2
1.25846E+018,05/07/2020,United States,2
1.25972E+018,05/11/2020,United States,0
1.25657E+018,05/02/2020,United Kingdom,2
1.25681E+018,05/03/2020,United States,0
1.25729E+018,05/04/2020,United Kingdom,2
1.25731E+018,05/04/2020,United Kingdom,2
1.25741E+018,05/04/2020,United States,2
1.25752E+018,05/05/2020,United States,2
1.2579E+018,05/06/2020,United States,2
1.25814E+018,05/06/2020,United Kingdom,2
1.25842E+018,05/07/2020,United States,0
1.25932E+018,05/10/2020,United States,2
1.25682E+018,05/03/2020,Mexico,0
1.25701E+018,05/03/2020,United States,2
1.25702E+018,05/03/2020,United States,2
1.25745E+018,05/04/2020,United States,2
1.25756E+018,05/05/2020,Mexico,2
1.25769E+018,05/05/2020,United States,0
1.25806E+018,05/06/2020,United States,2
1.2561E+018,05/01/2020,United States,2
1.25652E+018,05/02/2020,United States,2
1.2567E+018,05/02/2020,United States,2
1.25747E+018,05/05/2020,United States,2
1.25756E+018,05/05/2020,Mexico,0
1.2588E+018,05/08/2020,United States,2
1.25994E+018,05/11/2020,United States,2
1.25705E+018,05/03/2020,United States,0
